Movie,Genre,Language,Year
 Leo,Action ,Tamil,2021
Meiyazhagan,emotional drama and slice-of-life,Tamil,2024
Amaran,Biographical,Tamil,2014
Retro,Action,Tamil,2025
Tourist Family,Family Drama,Tamil,2025
SitaRamam,period romantic,Telugu,2022
Ghilli,action-masala sports,Tamil,2004
Ayan,Action,Tamil,2009
Hridayam,Romantic,Malayalam,2022
Premam,Romanace/Comedy,Malayalam,2015
Sarvam Maya,supernatural fantasy,Malayalam,2025
Lokah,Fantasy action,Malayalam,2025
Five Feet Apart,young adult,English,2019
Avengers,supernatural fantasy,English,2012
Frozen,Animated,English,2010
Tangled,Animated,English,2010
Ratatouille,Animated,English,2007
Finding Nemo,Animated,English,2003
20th Century Girl,Romance/Drama,Korean,2022
Ditto,Romance/Sci-fi,Korean,2022
